Topic1,Topic2,Edge Weight
TV,The Bachelor,1
IBM,NYC,2
IBM,Japan,3
Daimler,IBM,1
Bitcoin,Cryptocurrency,5
Bitcoin,IBM,1
Cryptocurrency,IBM,2
IBM,North Carolina,1
IBM,Raleigh,1
North Carolina,Raleigh,2
IBM,Startups,4
5G,AI,2
Entrepreneur,Startups,1
Academia,Entrepreneur,1
Entrepreneur,NYC,1
Academia,Startups,3
NYC,Startups,3
Academia,NYC,1
NASA,Startups,1
Space,Startups,2
Google,Startups,1
SpaceX,Startups,1
NASA,Space,14
Google,NASA,3
NASA,SpaceX,2
Google,Space,3
Space,SpaceX,2
Google,SpaceX,1
Israel,Startups,2
Microsoft,NYC,1
AI,Google,5
Google,IBM,7
IBM,India,1
Google,India,1
Airlines,IBM,2
Aviation,IBM,2
Delta Air Lines,IBM,1
Airlines,Aviation,12
Airlines,Delta Air Lines,1
Aviation,Delta Air Lines,1
Academia,Football,9
Basketball,Football,1
Football,NBA,1
Academia,Basketball,4
Academia,NBA,1
Basketball,NBA,20
Academia,IBM,12
Business Leaders,IBM,3
Florida,Startups,1
Miami,Startups,1
Florida,Miami,2
Data,United Kingdom,1
AI,IBM,10
Coinbase,Cryptocurrency,1
Business Leaders,New York,2
AI,Microsoft,2
IPO,Markets,5
Academia,Canada,1
Academia,Montreal,1
Canada,Montreal,1
AI,India,3
Security,Security Breach,13
Germany,IBM,2
Bill Gates,Business Leaders,1
Bill Gates,Gaming,1
Bill Gates,Cyberpunk 2077,1
Business Leaders,Gaming,1
Business Leaders,Cyberpunk 2077,1
Cyberpunk 2077,Gaming,2
JPMorgan,Markets,3
Business Leaders,NYC,3
Israel,Space,1
European Union,IBM,1
European Union,Germany,2
United Kingdom,Venture Capital,1
AI,France,1
Amazon,IBM,3
Amazon Prime,IBM,3
IBM,Microsoft,6
Amazon,Amazon Prime,7
Amazon,Microsoft,4
Amazon Prime,Microsoft,4
Football,NFL,37
Football,New England Patriots,1
NFL,New England Patriots,1
AI,Spain,1
5G,Samsung,1
AI,Singapore,1
Business Leaders,Cryptocurrency,3
Cryptocurrency,New York,1
NYC,New York,3
New York,Venture Capital,1
NYC,Venture Capital,3
Bose,Electronics,1
Bose,Podcasts,1
Electronics,Podcasts,1
Electronics,Samsung,4
Cryptocurrency,NYC,2
Amazon,NYC,1
Academia,Shell,1
Academia,Oil & Gas,1
Oil & Gas,Shell,1
Movies,Ryan Gosling,1
Coronavirus,Private Equity,1
Taiwan,Wildlife,1
New York,Wyoming,1
Football,Iowa,1
Basketball,Maryland,1
Food & Drink,Sweden,1
Data,Social Issues,1
Colorado,Football,1
Netflix,TV,4
LGBTQ,Social Issues,2
Halsey,Juice Wrld,1
Business Leaders,Evan Spiegel,1
Business Leaders,Florida,1
Business Leaders,Orlando,1
Business Leaders,Orlando Bloom,1
Evan Spiegel,Florida,1
Evan Spiegel,Orlando,1
Evan Spiegel,Orlando Bloom,1
Florida,Orlando,3
Florida,Orlando Bloom,1
Orlando,Orlando Bloom,1
Alabama,Football,3
Colorado,Olympics,1
Lebron James,Sports Figures,2
Cristiano Ronaldo,Sports Figures,3
Anthony Davis,Basketball,1
Basketball,Sports Figures,4
Basketball,Los Angeles Lakers,2
Anthony Davis,Sports Figures,1
Anthony Davis,Los Angeles Lakers,1
Anthony Davis,NBA,1
Los Angeles Lakers,Sports Figures,1
NBA,Sports Figures,3
Los Angeles Lakers,NBA,2
Movies,Netflix,1
TV,United Kingdom,1
Music,Taylor Swift,1
Academia,USC,3
Football,USC,2
Football,Michigan,2
LGBTQ,Movies,1
College Sports,Football,6
College Sports,Maryland,1
Football,Maryland,2
Basketball,Michigan,1
Country Music,Music,1
Music,Shania Twain,1
Drake,Music,1
Country Music,Shania Twain,1
Country Music,Drake,1
Drake,Shania Twain,1
Kelly Clarkson,TV,1
Chrissy Teigen,John Legend,1
Amazon,New York,1
Football,Pennsylvania State University,2
Chadwick Boseman,Movies,1
Music,TV,2
Netflix,Stranger Things,2
Stranger Things,TV,2
Academia,College Sports,3
Facebook,YouTube,1
Coronavirus,Movies,1
Media,Movies,1
9/11,TV,1
Snoop Dogg,TV,1
Black-ish,TV,1
Music,New York,1
Apple,TV,4
HBO,TV,2
Academia,Music,1
Music,Sony,1
Academia,Sony,1
Cobra Kai,TV,3
Coronavirus,Music,2
Movies,Spain,1
Movies,United Kingdom,1
HGTV,TV,1
Documentaries,Movies,1
Music,Spotify,1
Football,Missouri,2
Football,Twitter,1
Football,Tweets,1
Missouri,Twitter,1
Missouri,Tweets,1
Tweets,Twitter,2
Florida,Football,3
Football,Texas,4
Florida,Texas,1
Documentaries,Media,1
Football,Johnny Manziel,1
Football,Sports Figures,9
Johnny Manziel,Sports Figures,1
Cleveland,NFL,1
Cleveland Browns,NFL,1
NFL,Ohio,1
Indianapolis Colts,NFL,1
Indiana,NFL,1
Indianapolis,NFL,1
Cleveland,Cleveland Browns,1
Cleveland,Football,1
Cleveland,Ohio,2
Cleveland,Indianapolis Colts,1
Cleveland,Indiana,1
Cleveland,Indianapolis,1
Cleveland Browns,Football,1
Cleveland Browns,Ohio,1
Cleveland Browns,Indianapolis Colts,1
Cleveland Browns,Indiana,1
Cleveland Browns,Indianapolis,1
Football,Ohio,1
Football,Indianapolis Colts,1
Football,Indiana,1
Football,Indianapolis,1
Indianapolis Colts,Ohio,1
Indiana,Ohio,1
Indianapolis,Ohio,1
Indiana,Indianapolis Colts,1
Indianapolis,Indianapolis Colts,1
Indiana,Indianapolis,1
Game of Thrones,TV,2
HBO,Movies,1
Movies,TV,1
Joe Biden,World Series,1
Greece,Movies,1
Asia,Movies,3
Japan,Movies,1
Asia,Japan,1
Dave Chappelle,TV,1
Saturday Night Live,TV,2
Dave Chappelle,Saturday Night Live,1
TV,Warner Bros,1
Movies,Taiwan,1
Asia,Taiwan,1
Buffalo Bills,NFL,2
Josh Allen,NFL,3
NFL,Sports Figures,5
Buffalo Bills,Football,2
Buffalo Bills,Josh Allen,1
Buffalo Bills,Sports Figures,1
Football,Josh Allen,3
Josh Allen,Sports Figures,3
BTS,TV,1
Disney,TV,1
Katy Perry,TV,1
BTS,Disney,1
BTS,Katy Perry,1
Disney,Katy Perry,1
India,Movies,1
Asia,India,1
Business Leaders,Netflix,1
Elvis Presley,Harry Styles,1
Boxing,Roy Jones Jr.,1
Boxing,Mike Tyson,1
Boxing,Sports Figures,1
Mike Tyson,Roy Jones Jr.,1
Roy Jones Jr.,Sports Figures,1
Mike Tyson,Sports Figures,1
Holidays,Thanksgiving,1
Christianity,Coronavirus,1
European Football,FIFA,2
European Football,Gaming,1
European Football,PS5,1
European Football,Xbox,1
European Football,Microsoft,1
FIFA,Gaming,1
FIFA,PS5,1
FIFA,Xbox,1
FIFA,Microsoft,1
Gaming,PS5,6
Gaming,Xbox,6
Gaming,Microsoft,5
PS5,Xbox,3
Microsoft,PS5,3
Microsoft,Xbox,5
Drew Brees,Sports Figures,1
Drew Brees,Football,1
Drew Brees,NFL,1
Drew Brees,San Francisco,1
Drew Brees,San Francisco 49ers,1
Drew Brees,Josh Allen,1
San Francisco,Sports Figures,1
San Francisco 49ers,Sports Figures,1
Football,San Francisco,2
Football,San Francisco 49ers,3
NFL,San Francisco,2
NFL,San Francisco 49ers,3
San Francisco,San Francisco 49ers,2
Josh Allen,San Francisco,1
Josh Allen,San Francisco 49ers,1
Gaming,Playstation,3
PS5,Playstation,2
Football,Georgia,1
Football,Hawaii,1
Georgia,Hawaii,1
Coronavirus,New York,5
Business Leaders,Coronavirus,1
Football,Oregon,1
NFL,Oregon,1
Arkansas,Utah,1
Arkansas,Football,1
Football,Utah,1
Christmas,Music,1
Holidays,Music,1
Minnesota,Music,1
Music,St. Paul,1
Christmas,Holidays,1
Christmas,Minnesota,1
Christmas,St. Paul,1
Holidays,Minnesota,1
Holidays,St. Paul,1
Minnesota,St. Paul,1
China,Volcanoes,1
Football,Illinois,5
Food & Drink,New York,1
Dennis Quaid,Movies,1
Coronavirus,United Kingdom,1
Football,Super Bowl,3
Drake,NFL,1
NFL,Super Bowl,2
Insurance,NFL,1
NFL,State Farm,1
Drake,Football,1
Drake,Super Bowl,1
Drake,Insurance,1
Drake,State Farm,1
Football,Insurance,1
Football,State Farm,1
Insurance,Super Bowl,1
State Farm,Super Bowl,1
Insurance,State Farm,1
Football,Tampa Bay Buccaneers,1
NFL,Tampa Bay Buccaneers,1
CVS,Coronavirus,2
Academia,Coronavirus,1
Coronavirus,Kroger,2
Coronavirus,Walgreens,1
Coronavirus,Walmart,1
CVS,Kroger,1
CVS,Walgreens,1
CVS,Walmart,1
Kroger,Walgreens,1
Kroger,Walmart,1
Walgreens,Walmart,1
Football,Steve Sarkisian,2
Alabama,Steve Sarkisian,1
Alabama,Sports Figures,1
Sports Figures,Steve Sarkisian,2
NFL,Pennsylvania State University,1
Steve Sarkisian,Texas,1
Sports Figures,Texas,1
Football,Tennessee,1
Chicago,NFL,3
Illinois,NFL,3
Chicago Bears,NFL,3
Chicago,Illinois,9
Chicago,Chicago Bears,3
Chicago,Football,3
Chicago Bears,Illinois,3
Chicago Bears,Football,3
Football,Oklahoma,1
Football,Virginia,1
Academia,Virginia,2
College Sports,NFL,1
Basketball,Memphis,2
Basketball,Tennessee,2
Memphis,Tennessee,2
Baseball,College Sports,1
College Sports,Louisiana,1
College Sports,Mississippi,1
Baseball,Louisiana,1
Baseball,Mississippi,1
Louisiana,Mississippi,1
Basketball,March Madness,2
March Madness,NBA,1
Instagram,NFL,1
Basketball,Iowa,1
College Sports,Texas,1
Kristen Stewart,Movies,1
Kristen Stewart,Princess Diana,1
Kristen Stewart,Royal Family,1
Movies,Princess Diana,1
Movies,Royal Family,1
Princess Diana,Royal Family,1
Gaming,PS4,2
Microsoft,PS4,2
PS4,Xbox,2
Coronavirus,Pennsylvania,1
Basketball,Pennsylvania State University,2
Homelessness,Social Issues,1
Homelessness,Pandora,1
Pandora,Social Issues,1
Christianity,Football,1
Christianity,Illinois,1
Baseball,Chicago Cubs,1
Baseball,MLB,14
Baseball,Chicago,1
Baseball,Illinois,1
Baseball,Javier Baez,1
Baseball,Sports Figures,3
Chicago Cubs,MLB,1
Chicago,Chicago Cubs,1
Chicago Cubs,Illinois,1
Chicago Cubs,Javier Baez,1
Chicago Cubs,Sports Figures,1
Chicago,MLB,1
Illinois,MLB,1
Javier Baez,MLB,1
MLB,Sports Figures,1
Chicago,Javier Baez,1
Chicago,Sports Figures,1
Illinois,Javier Baez,1
Illinois,Sports Figures,1
Javier Baez,Sports Figures,1
Food & Drink,Starbucks,1
Cruise Lines,United Kingdom,1
College Sports,Illinois,1
Baseball,Softball,1
Football,United Kingdom,2
Football,Minnesota,2
Minnesota,NFL,1
Football,Houston Texans,1
Football,Houston,1
Houston Texans,NFL,1
Houston,Houston Texans,1
Houston Texans,Texas,1
Houston,NFL,1
NFL,Texas,1
Houston,Texas,2
Basketball,Louisiana State University,1
Academia,Louisiana State University,1
Football,Kansas City Chiefs,1
Football,Kansas,1
Football,Kansas City,1
Kansas City Chiefs,NFL,1
Kansas,Kansas City Chiefs,1
Kansas City,Kansas City Chiefs,1
Kansas City Chiefs,Missouri,1
Kansas,NFL,1
Kansas City,NFL,1
Missouri,NFL,1
Kansas,Kansas City,3
Kansas,Missouri,3
Kansas City,Missouri,3
Barcelona,Spain,1
Barcelona,Formula 1,1
Barcelona,Motorsports,1
Formula 1,Spain,1
Motorsports,Spain,1
Formula 1,Motorsports,3
Food & Drink,Recipes,1
Green Energy,Illinois,1
Electric Vehicles,Illinois,1
Electric Vehicles,Green Energy,3
Bruno Mars,Las Vegas,1
Bruno Mars,Nevada,1
Las Vegas,Nevada,2
Harry Potter,Warner Bros,1
Chicago,Hockey,1
Hockey,Illinois,1
Chicago Blackhawks,Hockey,1
Hockey,NHL,10
Chicago,Chicago Blackhawks,1
Chicago,NHL,1
Chicago Blackhawks,Illinois,1
Illinois,NHL,1
Chicago Blackhawks,NHL,1
Airlines,Turkey,1
Airlines,Turkish,1
Aviation,Turkey,1
Aviation,Turkish,1
Turkey,Turkish,1
Cruise Lines,NYC,1
Avengers,Disney,1
California,Los Angeles,4
California,LGBTQ,1
California,Social Issues,1
California,Shopping,1
LGBTQ,Los Angeles,1
Los Angeles,Social Issues,1
Los Angeles,Shopping,1
LGBTQ,Shopping,1
Shopping,Social Issues,1
Cleveland,Golf,1
Golf,Ohio,1
Business Leaders,Detroit,1
Business Leaders,Michigan,1
Business Leaders,Markets,4
Detroit,Michigan,1
Detroit,Markets,1
Markets,Michigan,1
European Football,Football,5
Style,Zara,1
Elephants,Wildlife,1
Fortnite,Gaming,2
Coronavirus,UN Climate Change Conference,1
Basketball,Big Ten,1
Basketball,Florida,2
Basketball,Miami,1
Big Ten,Florida,1
Big Ten,Miami,1
Big Ten,Pennsylvania State University,1
Florida,Pennsylvania State University,1
Miami,Pennsylvania State University,1
Baltimore,Maryland,2
Food & Drink,Nashville,1
Food & Drink,Tennessee,1
Nashville,Tennessee,1
Space,Virgin Galactic,2
Columbus Blue Jackets,Hockey,1
Columbus Blue Jackets,NHL,1
Cannabis,Social Issues,3
Ben Affleck,Jennifer Lopez,1
America's Got Talent,TV,1
Basketball,Chicago Bulls,1
Basketball,Chicago,1
Basketball,Illinois,2
Chicago Bulls,NBA,1
Chicago,Chicago Bulls,1
Chicago Bulls,Illinois,1
Chicago,NBA,1
Illinois,NBA,1
Football,TV,1
Genesis Motor,Reviews,1
Gaming,Roblox,1
Fantasy Sports,Football,2
Coronavirus,Ohio,1
Las Vegas Raiders,NFL,3
NFL,Oakland,2
Football,Las Vegas Raiders,3
Football,Oakland,2
Las Vegas Raiders,Oakland,2
Airlines,Coronavirus,1
Aviation,Coronavirus,1
AstraZeneca,Coronavirus,1
AstraZeneca,Data,1
Coronavirus,Data,1
Academia,Georgia,1
Academia,Memphis,1
Academia,Tennessee,1
Basketball,Georgia,1
Georgia,Memphis,1
Georgia,Tennessee,1
Crime,Terrorism,1
Crime,Nancy Pelosi,1
Nancy Pelosi,Terrorism,1
Netflix,Poland,1
Poland,Stranger Things,1
Poland,TV,1
Beauty,Style,1
IBM,Oracle,1
Microsoft,Oracle,2
Chicago,Kansas,1
Chicago,Kansas City,1
Chicago,Missouri,1
Illinois,Kansas,1
Illinois,Kansas City,1
Illinois,Missouri,1
Markets,Ukraine,1
Activism,Markets,1
Massachusetts,Startups,2
Cricket,Indian Premier League,1
Cricket,European Football,1
European Football,Indian Premier League,1
Baseball,Houston Astros,4
Baseball,Chicago White Sox,2
Houston Astros,MLB,4
Chicago White Sox,Houston Astros,1
Chicago White Sox,MLB,2
MMA,UFC,1
AWS,Amazon,10
FinTech,IPO,1
FinTech,Markets,2
Mitsubishi,Samsung,1
Joe Biden,Pope Francis,1
Malaysia,Markets,1
Fashion,Style,2
Fashion,Oprah Winfrey,1
Oprah Winfrey,Style,1
Apple,Electronics,11
Apple,iPhone,9
Apple,Black Friday,2
Apple,Shopping,2
Electronics,iPhone,10
Black Friday,Electronics,2
Electronics,Shopping,4
Black Friday,iPhone,2
Shopping,iPhone,2
Black Friday,Shopping,3
Canada,Justin Trudeau,1
Canada,Immigration,1
Canada,Social Issues,1
Canada,Joe Biden,1
Immigration,Justin Trudeau,1
Justin Trudeau,Social Issues,1
Joe Biden,Justin Trudeau,1
Immigration,Social Issues,1
Immigration,Joe Biden,1
Joe Biden,Social Issues,1
Cannabis,Food & Drink,1
Cannabis,Uber Eats,1
Cannabis,Ridesharing,1
Cannabis,Uber,1
Food & Drink,Social Issues,1
Social Issues,Uber Eats,1
Ridesharing,Social Issues,1
Social Issues,Uber,1
