Topic1,Topic2,Edge Weight
Food & Drink,Uber Eats,1
Food & Drink,Ridesharing,1
Food & Drink,Uber,1
Ridesharing,Uber Eats,1
Uber,Uber Eats,1
Ridesharing,Uber,1
California,Football,2
California,NFL,1
California,Pittsburgh Steelers,1
Football,Los Angeles,1
Los Angeles,NFL,1
Los Angeles,Pittsburgh Steelers,1
Football,Pittsburgh Steelers,2
NFL,Pittsburgh Steelers,2
CVS,Markets,1
Arizona,Tucson,2
Alabama,Arizona,1
Alabama,Tucson,1
Alabama,Missouri,1
Arizona,Missouri,1
Missouri,Tucson,1
Academia,Kentucky,1
Soccer,Vietnam,1
Markets,Space,1
Aerospace,Markets,1
Aerospace,Space,1
Australia,Tennis,1
Australian Open,Tennis,1
Australia,Australian Open,1
Grammy Awards,Music,1
Basketball,College Sports,3
Gaming,Nintendo,2
Nintendo,Star Wars,1
Gaming,Star Wars,1
Coronavirus,Markets,1
AI,Cryptocurrency,3
AI,Markets,1
NBA,New York Knicks,1
Basketball,New York Knicks,1
Astrology,Horoscopes,1
Holidays,Mother's Day,1
AI,Shopping,1
AI,Electronics,1
ESG,Green Energy,2
ESG,Electric Vehicles,1
WWE,Wrestling,4
Asian,Markets,1
AI,Startups,1
Crime,Murder,1
Markets,Shopping,1
Academia,World Series,1
Lawsuits,The Walking Dead,1
Lawsuits,TV,1
TV,The Walking Dead,1
Basketball,Miami Heat,1
Basketball,Florida Panthers,1
Basketball,NHL,1
Basketball,Hockey,1
Florida Panthers,Miami Heat,1
Miami Heat,NHL,1
Hockey,Miami Heat,1
Miami Heat,NBA,1
Florida Panthers,NHL,1
Florida Panthers,Hockey,1
Florida Panthers,NBA,1
NBA,NHL,1
Hockey,NBA,1
Australia,Congress,1
Basketball,WNBA,3
Entrepreneur,In Memoriam,1
Basketball,Los Angeles Clippers,1
Los Angeles Clippers,NBA,1
Altcoins,Zcash,1
Altcoins,Cryptocurrency,1
Cryptocurrency,Zcash,1
Australia,Style,1
Australia,Fashion,1
Olympics,Olympics 2024,1
American Red Cross,Environment-ESG,1
Environment-ESG,North America,1
Dallas Cowboys,NFL,1
Dallas Cowboys,Sports Figures,1
Dallas Cowboys,Football,1
European Football,Sports Figures,1
European Football,UEFA,1
Sports Figures,UEFA,1
MacBooks,Shopping,1
Electronics,MacBooks,1
AI,Business Leaders,1
Diwali,Fashion,1
Diwali,Holidays,1
Fashion,Holidays,1
Halloween,Holidays,1
TV,World Cup,1
Australia,World Cup,1
Dallas Mavericks,NBA,1
Basketball,Dallas Mavericks,1
Gaming,Movies,1
5G,Social-ESG,1
Green Bay Packers,NFL,2
Football,Green Bay Packers,2
Golf,Sports Figures,1
Markets,Walmart,1
Atlanta Braves,MLB,2
Atlanta,MLB,3
Georgia,MLB,3
Atlanta Braves,Baseball,2
Atlanta,Baseball,4
Baseball,Georgia,4
Atlanta,Atlanta Braves,2
Atlanta Braves,Georgia,2
Atlanta,Georgia,6
DNC,Green Energy,1
China,Iranian,1
Markets,Real Estate,1
Markets,United Kingdom,1
Real Estate,United Kingdom,1
Joe Biden,Ukraine,1
Inflation,Joe Biden,1
Inflation,Ukraine,1
DNC,Texas,1
WrestleMania,Wrestling,1
WWE,WrestleMania,1
Apple,Google,2
Apple,Microsoft,1
Google,Microsoft,4
Canada,Hockey,1
Michigan,Supreme Court,1
Roku,Walmart,1
PS4,PS5,1
Australia,Markets,1
Climate Change,Markets,1
Australia,Climate Change,1
Indiana,Seattle,1
Indiana,Washington,1
Seattle,Washington,4
Atlanta,Washington Nationals,1
Georgia,Washington Nationals,1
Atlanta Braves,Washington Nationals,1
Baseball,Washington Nationals,1
MLB,Washington Nationals,1
Baltimore,Football,1
Football,France,1
Baltimore,France,1
France,Maryland,1
Hyundai,Toyota,1
Dow Jones,Markets,1
G20,Indonesia,1
G20,Ukraine,1
G20,Russia-Ukraine War,1
Indonesia,Ukraine,1
Indonesia,Russia-Ukraine War,1
Russia-Ukraine War,Ukraine,3
Markets,NASDAQ,17
Cycling,Tour de France,1
Cycling,European Union,1
Cycling,France,1
European Union,Tour de France,1
France,Tour de France,1
European Union,France,1
Deshaun Watson,Football,1
Deshaun Watson,Sports Figures,1
Russia,Russia-Ukraine War,3
Android,Google,3
5G,Academia,1
5G,Apple,2
5G,Electronics,2
5G,iPhone,2
Academia,Apple,1
Academia,Electronics,1
Academia,iPhone,1
Country Music,Rascal Flatts,1
Business Leaders,NASDAQ,1
Business Leaders,Texas,1
Markets,Texas,1
NASDAQ,Texas,1
Coca-Cola,Food & Drink,1
Baseball,Caribbean Islands,1
Baseball,Cuba,1
Caribbean Islands,Houston Astros,1
Cuba,Houston Astros,1
Caribbean Islands,MLB,1
Cuba,MLB,1
Caribbean Islands,Cuba,1
GOP,Oklahoma,1
DNC,New York,1
Golf,Podcasts,1
DNC,Florida,1
Markets,NYSE,9
Abortion,Social Issues,1
Abortion,Supreme Court,1
Social Issues,Supreme Court,1
Queen Elizabeth,Royal Family,1
Ja Morant,Lebron James,1
Basketball,Lebron James,1
Ja Morant,Sports Figures,1
Basketball,Ja Morant,1
IPO,Porsche,1
IPO,Volkswagen,1
Markets,Porsche,1
Markets,Volkswagen,1
Porsche,Volkswagen,1
Bellator MMA,MMA,1
Roger Federer,Sports Figures,1
FLOTUS,Jill Biden,2
Jill Biden,Joe Biden,2
FLOTUS,Joe Biden,2
Media,Security,1
Media,Security Breach,1
Baseball,Los Angeles Dodgers,1
Baseball,San Diego Padres,2
Los Angeles Dodgers,MLB,1
Los Angeles Dodgers,San Diego Padres,1
MLB,San Diego Padres,2
Baseball,New York Yankees,2
Baseball,World Series,1
Houston Astros,New York Yankees,1
Houston Astros,World Series,1
MLB,New York Yankees,2
MLB,World Series,1
New York Yankees,World Series,1
China,Markets,2
Sports Figures,United Kingdom,1
Mohamed Salah,United Kingdom,1
Mohamed Salah,Sports Figures,1
FIFA World Cup,World Cup,2
Football,Kentucky,1
Football,Louisville,1
College Sports,Kentucky,1
College Sports,Louisville,1
Kentucky,Louisville,1
Australia,Soccer,1
France,Soccer,1
Australia,France,1
Belgium,Soccer,1
Canada,Soccer,1
European Football,Soccer,1
FIFA,Soccer,1
Soccer,World Cup,1
FIFA World Cup,Soccer,1
Belgium,Canada,1
Belgium,European Football,1
Belgium,FIFA,1
Belgium,World Cup,1
Belgium,FIFA World Cup,1
Canada,European Football,1
Canada,FIFA,1
Canada,World Cup,1
Canada,FIFA World Cup,1
European Football,World Cup,1
European Football,FIFA World Cup,1
FIFA,World Cup,1
FIFA,FIFA World Cup,1
Cryptocurrency,Dogecoin,2
Joe Biden,South Carolina,1
Basketball,Colorado,1
Academia,Colorado,1
College Sports,Colorado,1
Football,Shopping,1
FinTech,Malaysia,1
FinTech,Thailand,1
Malaysia,Thailand,1
Minneapolis,Minnesota,1
Real Estate,Utah,1
IBM,Samsung,1
IBM,Markets,3
5G,India,1
Music Festivals,SXSW,3
Music Festivals,Podcasts,2
Podcasts,SXSW,2
Economy,Real Estate,1
Australia,Commonwealth Games,1
Music,Raggae,2
Sports Figures,Tennis,2
AI,United Kingdom,2
IBM,North America,2
Business Leaders,Space,2
Cleveland Cavaliers,NBA,1
Basketball,Cleveland Cavaliers,1
Reviews,Theater,2
Football,Long Beach,1
California,Long Beach,1
Australia,IBM,2
Amazon,Seattle,1
Amazon,Washington,1
Amazon Prime,Seattle,1
Amazon Prime,Washington,1
Microsoft,Seattle,1
Microsoft,Washington,1
Oil & Gas,World Cup,1
Academia,Nvidia,1
Baltimore Orioles,MLB,1
Baltimore Orioles,Chicago White Sox,1
Baltimore Orioles,Baseball,1
Environment-ESG,Europe,1
Airlines,Boeing,3
Airlines,Space,1
Aviation,Boeing,3
Aviation,Space,1
Boeing,Space,1
Boeing,IBM,1
Airlines,Google,1
Airlines,Microsoft,1
Aviation,Google,1
Aviation,Microsoft,1
Boeing,Google,1
Boeing,Microsoft,1
Basketball,Washington Wizards,1
NBA,Washington Wizards,1
Sports Figures,Washington Wizards,1
Business Leaders,Security,2
Business Leaders,Security Breach,2
Alibaba,Business Leaders,1
AWS,Amazon Prime,2
Series A,Startups,3
Series A,Venture Capital,3
Startups,Venture Capital,3
Microsoft,Startups,4
IBM,Taiwan,1
AI,Asian,1
Prince Philip,Royal Family,1
China,Cryptocurrency,1
Exxon,IBM,1
NBA,Philadelphia 76ers,1
NBA,Pennsylvania,1
Basketball,Philadelphia 76ers,1
Basketball,Pennsylvania,1
Pennsylvania,Philadelphia 76ers,1
European Union,Startups,1
Airbus,Business Leaders,1
Airbus,Space,1
Barclays Bank,IBM,1
AI,Oracle,1
Climate Change,Exxon,1
Security,US Air Force,1
Security Breach,US Air Force,1
Amazon,Blockchain,1
AWS,Blockchain,1
Movies,Warner Bros,1
5G,FinTech,1
5G,IBM,1
5G,Unemployment,1
5G,UPS,1
5G,WeWork,1
FinTech,IBM,1
FinTech,Unemployment,1
FinTech,UPS,1
FinTech,WeWork,1
IBM,Unemployment,1
IBM,UPS,1
IBM,WeWork,1
UPS,Unemployment,1
Unemployment,WeWork,1
UPS,WeWork,1
Chicago,IBM,1
IBM,Illinois,1
IBM,Massachusetts,2
Australia,Silicon Valley,1
Calgary,Canada,1
Academia,North America,1
AI,Australia,1
AI,Traffic,1
Australia,Traffic,1
IBM,Virginia,1
AI,Podcasts,1
Cryptocurrency,India,1
IBM,Mitsubishi,2
Academia,Mitsubishi,1
Food & Drink,Holidays,1
Food & Drink,Independence Day,1
Holidays,Independence Day,1
Blockchain,Salesforce,1
5G,Nokia,1
5G,Security,1
5G,Security Breach,1
Nokia,Security,1
Nokia,Security Breach,1
Business Leaders,Microsoft,3
IBM,JPMorgan,1
Africa,IBM,4
Silicon Valley,United Kingdom,1
Academia,Africa,2
Academia,New Mexico,1
Singapore,Startups,1
5G,Blockchain,1
Airbus,India,1
China,Trump,1
Academia,Illinois,1
Academia,University of Illinois,1
Illinois,University of Illinois,1
AI,China,1
AI,Blockchain,1
AI,Security,1
AI,Security Breach,1
Blockchain,Security,1
Blockchain,Security Breach,1
Brexit,World Politics,1
Seed Rounds,Venture Capital,5
Academia,NYU,1
Academia,Cryptocurrency,2
Academia,Microsoft,1
Cryptocurrency,NSA,1
Cryptocurrency,Security,1
Cryptocurrency,Security Breach,1
NSA,Security,1
NSA,Security Breach,1
Cryptocurrency,Microsoft,1
AI,NSA,1
California,Series A,1
Los Angeles,Series A,1
California,Startups,1
Los Angeles,Startups,1
California,Venture Capital,1
Los Angeles,Venture Capital,1
Gaming,Oracle,1
Goldman Sachs,Markets,2
Samsung,Startups,1
Academia,Samsung,1
Blockchain,Business Leaders,1
Alibaba,Blockchain,1
Blockchain,UAE,1
Alibaba,UAE,1
IBM,New York,1
Microsoft,North Carolina,1
AI,Academia,3
Google,Singapore,1
IBM,Singapore,1
Academia,Wells Fargo,1
AI,Wells Fargo,2
IBM,Wells Fargo,2
AI,Germany,1
Amazon,Business Leaders,1
Amazon Prime,Business Leaders,1
BMW,NYC,1
Bitcoin,Deloitte,1
Cryptocurrency,Deloitte,1
Business Leaders,Venture Capital,1
Academia,China,1
Amazon,Reviews,1
AWS,Reviews,1
Bahamas,Caribbean Islands,1
Apple,Apple TV+,1
Apple,Apple   ,1
Apple TV+,TV,1
Apple   ,TV,1
Apple   ,Apple TV+,1
Boston Bruins,Hockey,1
Fashion,Kate Hudson,1
Cincinnati,Cincinnati Bengals,2
Cincinnati,Football,2
Cincinnati,NFL,2
Cincinnati Bengals,Football,2
Cincinnati Bengals,NFL,2
Gaming,Samsung,1
PS5,Samsung,1
Microsoft,Samsung,1
Samsung,Xbox,1
California,San Diego,3
Gaming,Nvidia,1
Cyberpunk 2077,Nvidia,1
Arkansas,Theater,1
Academia,Brad Pitt,1
KISS,Movies,1
Electronics,India,1
India,Samsung,1
Huawei,Malaysia,1
Economy,European Union,1
Economy,Germany,1
Economy,India,1
European Union,India,1
Germany,India,1
Milwaukee Bucks,NBA,1
NBA,Orlando Magic,1
Florida,NBA,1
NBA,Orlando,1
Milwaukee,NBA,1
NBA,Wisconsin,1
Basketball,Milwaukee Bucks,1
Basketball,Orlando Magic,1
Basketball,Orlando,1
Basketball,Milwaukee,1
Basketball,Wisconsin,1
Milwaukee Bucks,Orlando Magic,1
Florida,Milwaukee Bucks,1
Milwaukee Bucks,Orlando,1
Milwaukee,Milwaukee Bucks,1
Milwaukee Bucks,Wisconsin,1
Florida,Orlando Magic,1
Orlando,Orlando Magic,1
Milwaukee,Orlando Magic,1
Orlando Magic,Wisconsin,1
Florida,Milwaukee,1
Florida,Wisconsin,1
Milwaukee,Orlando,1
Orlando,Wisconsin,1
Milwaukee,Wisconsin,1
Sports Figures,Virat Kohli,1
Africa,Kamala Harris,1
Atlanta,Green Energy,1
Atlanta,Electric Vehicles,1
Georgia,Green Energy,1
Electric Vehicles,Georgia,1
Russia,Ukraine,1
Edmonton Oilers,NHL,1
Arizona,NBA,1
Arizona,Phoenix,2
Arizona,Basketball,1
Arizona,Phoenix Suns,1
NBA,Phoenix,1
NBA,Phoenix Suns,1
Basketball,Phoenix,1
Phoenix,Phoenix Suns,1
Basketball,Phoenix Suns,1
Bollywood,Movies,1
Earnings Calls,Markets,2
Aston Martin,Motorsports,1
Aston Martin,Formula 1,1
NYC,Orlando,1
New York,Orlando,1
Florida,NYC,1
Florida,New York,1
Dak Prescott,Sports Figures,1
Aviation,ESG,1
College Sports,Oklahoma,1
College Sports,Softball,1
Oklahoma,Softball,1
Fitness,Qatar,1
China,Law Enforcement,1
China,Philippines,1
Law Enforcement,Philippines,1
Electric Vehicles,Energy Storage,1
Energy Storage,India,1
Electric Vehicles,India,1
California,NHL,1
California,Los Angeles Kings,1
California,Hockey,1
Los Angeles Kings,NHL,1
Los Angeles,NHL,1
Hockey,Los Angeles Kings,1
Los Angeles,Los Angeles Kings,1
Hockey,Los Angeles,1
Bollywood,Guinness World Records,1
Justin Verlander,Sports Figures,1
Grammy Awards,Podcasts,1
Hockey,Podcasts,1
Grammy Awards,Hockey,1
United Kingdom,Vodafone,1
Nokia,United Kingdom,1
Nokia,Vodafone,1
Alibaba,Markets,1
Alibaba,China,1
Philadelphia Phillies,San Diego Padres,1
Baseball,Philadelphia Phillies,1
MLB,Philadelphia Phillies,1
Bollywood,India,1
Eden Hazard,Sports Figures,1
Airlines,Lufthansa,1
Aviation,Lufthansa,1
Boeing,Lufthansa,1
Business Leaders,Startups,1
FinTech,JPMorgan,1
Nebraska,Soccer,1
AI,Bitcoin,1
Bitcoin,Dogecoin,1
AI,Dogecoin,1
Apple,Apple Watch,2
Apple Watch,Electronics,2
Music,Texas,1
Bollywood,Netflix,1
Costco,Markets,1
Electronics,Google,1
Google,iPhone,1
Android,Apple,1
Android,Electronics,1
Android,iPhone,1
Pittsburgh Steelers,T.J. Watt,1
Pittsburgh Steelers,Sports Figures,1
Sports Figures,T.J. Watt,1
NFL,T.J. Watt,1
Football,T.J. Watt,1
AI,Media,1
Apple,Samsung,1
Samsung,iPhone,1
Rafael Nadal,Sports Figures,1
Novak Djokovic,Sports Figures,1
Novak Djokovic,Rafael Nadal,1
Rafael Nadal,Tennis,1
Novak Djokovic,Tennis,1
College Sports,San Diego,1
Basketball,San Diego,1
California,College Sports,1
Basketball,California,1
Arizona,Hockey,1
Hockey,Phoenix,1
Cryptocurrency,Markets,1
Cryptocurrency,NASDAQ,1
TV,The Masked Singer,1
Cryptocurrency,Electronics,1
Cryptocurrency,Samsung,1
China,Earthquakes,1
Holidays,Las Vegas,1
Las Vegas,NYE,1
Holidays,Nevada,1
Holidays,NYE,1
NYE,Nevada,1
Economy,Hong Kong,1
Hong Kong,Markets,1
Economy,Markets,1
